id;name;phone;email_id;address;gst_number
1;Metal Borders scalable;65106;grey Borders;Oval;88200
2;Cambridgeshire;3822;generating 24 hour;support models;84692
3;capacitor generating;91000;EXE;Team-oriented IB Tennessee;34765
4;Ergonomic hacking;95;synthesizing Bike Liaison;Avon Incredible Granite Chips;59162
5;Multi-layered;20007;Innovative Texas;Ergonomic Cloned;46700
6;Chief Fantastic;47122;projection;Bike;67956
7;Senior Auto Loan Account leading-edge;13664;connect;Wooden;82906
8;quantifying Optimization;62032;Associate Belarussian Ruble Throughway;Games Operations;89079
9;salmon Frozen Executive;29079;Cambridgeshire Surinam Dollar virtual;harness Generic Granite Pizza;49361
10;Ohio;38654;payment PCI scale;Wooden Fresh withdrawal;74130
