id;name;phone;email_id;address;gst_number
1;invoice Auto Loan Account Senior;58052;Alabama pixel Table;multi-byte Handcrafted Cotton Fish;81377
2;Triple-buffered;76644;Ergonomic Granite Shirt efficient;connecting Switchable;45501
3;Soft Borders Fantastic Steel Chips;57295;matrix synthesizing Principal;indexing;64664
4;Soft Electronics;933;red Reverse-engineered;payment vertical;55898
5;Triple-buffered mission-critical;13336;optical Tasty Rubber Bacon;overriding Turnpike;95576
6;Indiana;58967;Shoes supply-chains;Oregon Andorra;62376
7;standardization;92083;functionalities;Awesome Rubber Keyboard Baht transparent;42433
8;infomediaries Oregon navigate;32866;concept Kroon;Liaison Field;70089
9;withdrawal Forward;90729;Intelligent Steel Keyboard real-time Multi-layered;Sleek;64979
10;Bedfordshire Investment Account Administrator;25410;orchestration FTP;back-end infomediaries;27783
